kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K01353.01,125.86540191,12.37,1.115,394.0,5.71
K01353.02,34.5439452,2.67,1.115,607.0,32.02
K00168.01,10.74241765,3.06,1.518,1008.0,243.94
K01414.01,4.02378908,2.24,3.685,2504.0,9293.19
K01415.01,0.312941621,58.02,1.188,3151.0,23300.36
K01416.01,2.495780169,15.75,0.992,1408.0,929.47
K01417.01,8.428090255,517.43,0.805,817.0,105.54
K01418.01,8.344104633,836.31,0.838,785.0,89.55
K01225.01,1.714274727,25.0,0.535,827.0,110.02
K01226.01,137.75960504,49.52,1.452,396.0,5.81
K01227.01,2.155278342,16.89,0.82,1272.0,620.67
K01228.01,3.661326482,12.07,0.798,1023.0,258.6
K00153.02,4.75400072,2.0,0.693,775.0,85.23
K01294.01,9.08937826,5.35,1.275,1104.0,351.45
K00017.01,3.234699282,13.06,1.291,1356.0,797.62
K00157.03,31.99552485,4.12,1.046,582.0,27.17
K01295.01,1.577800747,31.24,0.802,1513.0,1236.23
K01296.01,2.380862632,21.65,1.129,1480.0,1133.0
K01354.01,1.752567456,26.56,0.996,1502.0,1202.54
K01355.01,51.92920654,8.49,1.442,574.0,25.6
K01357.01,3.014330766,2.87,0.953,1124.0,377.79
K01358.01,5.644914154,2.66,0.714,744.0,72.38
K00161.01,3.105507835,2.68,0.791,980.0,217.91
K01419.01,1.336109338,35.19,0.967,1727.0,2106.49
K01420.01,13.35151248,4.44,0.754,585.0,27.77
K01421.01,1693.6636225,10.23,1.021,157.0,0.14
K01422.01,5.841636615,1.38,0.383,446.0,9.38
K01422.02,19.85029495,1.52,0.383,297.0,1.83
K01231.01,22.34293693,2.92,0.58,399.0,6.01
K01232.01,119.40817159,16.26,0.872,328.0,2.72
K01233.01,1.171536413,7.12,1.485,2387.0,7673.2
K01234.01,0.973547911,11.52,0.863,1814.0,2556.6
K01235.01,3.053563251,21.79,0.863,1171.0,444.16
K01297.01,1.031096352,2.36,1.072,2020.0,3954.46
K01298.01,11.00817635,2.15,0.582,488.0,13.39
K01299.01,52.5008645,12.41,4.157,812.0,102.94
K01300.01,0.63133171,1.2,0.53,1322.0,726.72
K01301.01,12.69905011,2.62,0.882,686.0,52.55
K01358.02,8.74292005,1.92,0.714,643.0,40.33
K01358.03,3.64830183,1.33,0.714,860.0,129.44
K01358.04,2.345863002,1.23,0.714,997.0,233.38
K01359.01,37.1011418,3.19,0.85,532.0,18.95
K01359.02,104.8205868,6.45,0.85,376.0,4.74
K01422.03,10.8644095,1.14,0.383,363.0,4.09
K01423.01,124.4197175,10.3,1.659,416.0,7.07
K01424.01,1.219568047,1.51,0.701,1252.0,578.96
K01425.01,2.05388477,2.74,1.176,1523.0,1271.11
K01426.01,38.86848956,2.81,0.897,509.0,15.89
K01236.01,35.7353616,5.47,1.697,774.0,84.66
K01236.02,12.30971679,3.82,1.697,1104.0,350.46
K01236.03,54.4205407,3.2,1.067,574.0,25.6
K01237.01,14.32407216,38.86,1.039,782.0,88.38
K01238.01,27.07237655,2.18,0.965,605.0,31.58
K01301.02,37.5142128,2.68,0.882,478.0,12.38
K01302.01,55.6391882,3.13,0.962,478.0,12.33
K00157.04,46.6856205,2.52,1.046,513.0,16.41
K01303.01,34.2966363,3.29,1.167,584.0,27.6
